path,class_name
project_results\raw_dataset\Himalayan\himalayan_279.jpg,Himalayan
project_results\raw_dataset\Russian Blue\russianblue_206.jpg,Russian Blue
project_results\raw_dataset\Exotic Shorthair\exotic_261.jpg,Exotic Shorthair
project_results\raw_dataset\Russian Blue\russianblue_228.jpg,Russian Blue
project_results\raw_dataset\Russian Blue\russianblue_229.jpg,Russian Blue
project_results\raw_dataset\Exotic Shorthair\exotic_244.jpg,Exotic Shorthair
project_results\raw_dataset\Bombay\bombay_256.jpg,Bombay
project_results\raw_dataset\Siamese\siamese_193.jpg,Siamese
project_results\raw_dataset\Abyssinian\abys_438.jpg,Abyssinian
project_results\raw_dataset\Egyptian Mau\egyptian_257.jpg,Egyptian Mau
project_results\raw_dataset\Siamese\siamese_157.jpg,Siamese
project_results\raw_dataset\Russian Blue\russianblue_241.jpg,Russian Blue
project_results\raw_dataset\Russian Blue\russianblue_420.jpg,Russian Blue
project_results\raw_dataset\Siamese\siamese_311.jpg,Siamese
project_results\raw_dataset\Abyssinian\abys_334.jpg,Abyssinian
project_results\raw_dataset\Abyssinian\abys_278.jpg,Abyssinian
project_results\raw_dataset\Himalayan\himalayan_309.jpg,Himalayan
project_results\raw_dataset\Scottish Fold\scottish_379.jpg,Scottish Fold
project_results\raw_dataset\Bombay\bombay_95.jpg,Bombay
project_results\raw_dataset\Bombay\bombay_133.jpg,Bombay
project_results\raw_dataset\Abyssinian\abys_13.jpg,Abyssinian
project_results\raw_dataset\Abyssinian\abys_467.jpg,Abyssinian
project_results\raw_dataset\Scottish Fold\scottish_400.jpg,Scottish Fold
project_results\raw_dataset\Himalayan\himalayan_386.jpg,Himalayan
project_results\raw_dataset\Maine Coon\mainecoon_38.jpg,Maine Coon
project_results\raw_dataset\Maine Coon\mainecoon_20.jpg,Maine Coon
project_results\raw_dataset\Abyssinian\abys_102.jpg,Abyssinian
project_results\raw_dataset\Exotic Shorthair\exotic_143.jpg,Exotic Shorthair
project_results\raw_dataset\Russian Blue\russianblue_31.jpg,Russian Blue
project_results\raw_dataset\Abyssinian\abys_191.jpg,Abyssinian
project_results\raw_dataset\Siamese\siamese_380.jpg,Siamese
project_results\raw_dataset\Russian Blue\russianblue_491.jpg,Russian Blue
project_results\raw_dataset\Abyssinian\abys_265.jpg,Abyssinian
project_results\raw_dataset\Himalayan\himalayan_277.jpg,Himalayan
project_results\raw_dataset\Egyptian Mau\egyptian_161.jpg,Egyptian Mau
project_results\raw_dataset\Exotic Shorthair\exotic_334.jpg,Exotic Shorthair
project_results\raw_dataset\Siamese\siamese_261.jpg,Siamese
project_results\raw_dataset\Sphynx\sphynx_29.jpg,Sphynx
project_results\raw_dataset\Siamese\siamese_176.jpg,Siamese
project_results\raw_dataset\Exotic Shorthair\exotic_113.jpg,Exotic Shorthair
project_results\raw_dataset\Himalayan\himalayan_232.jpg,Himalayan
project_results\raw_dataset\Siamese\siamese_265.jpg,Siamese
project_results\raw_dataset\Maine Coon\mainecoon_254.jpg,Maine Coon
project_results\raw_dataset\Bombay\bombay_38.jpg,Bombay
project_results\raw_dataset\Russian Blue\russianblue_315.jpg,Russian Blue
project_results\raw_dataset\Egyptian Mau\egyptian_70.jpg,Egyptian Mau
project_results\raw_dataset\Egyptian Mau\egyptian_425.jpg,Egyptian Mau
project_results\raw_dataset\Scottish Fold\scottish_26.jpg,Scottish Fold
project_results\raw_dataset\Exotic Shorthair\exotic_388.jpg,Exotic Shorthair
project_results\raw_dataset\Scottish Fold\scottish_151.jpg,Scottish Fold
project_results\raw_dataset\Bombay\bombay_36.jpg,Bombay
project_results\raw_dataset\Scottish Fold\scottish_84.jpg,Scottish Fold
project_results\raw_dataset\Egyptian Mau\egyptian_119.jpg,Egyptian Mau
project_results\raw_dataset\Bombay\bombay_246.jpg,Bombay
project_results\raw_dataset\Abyssinian\abys_67.jpg,Abyssinian
project_results\raw_dataset\Scottish Fold\scottish_415.jpg,Scottish Fold
project_results\raw_dataset\Bombay\bombay_61.jpg,Bombay
project_results\raw_dataset\Bombay\bombay_369.jpg,Bombay
project_results\raw_dataset\Russian Blue\russianblue_88.jpg,Russian Blue
project_results\raw_dataset\Scottish Fold\scottish_168.jpg,Scottish Fold
project_results\raw_dataset\Scottish Fold\scottish_304.jpg,Scottish Fold
project_results\raw_dataset\Abyssinian\abys_163.jpg,Abyssinian
project_results\raw_dataset\Bombay\bombay_143.jpg,Bombay
project_results\raw_dataset\Exotic Shorthair\exotic_151.jpg,Exotic Shorthair
project_results\raw_dataset\Russian Blue\russianblue_486.jpg,Russian Blue
project_results\raw_dataset\Scottish Fold\scottish_141.jpg,Scottish Fold
project_results\raw_dataset\Bombay\bombay_125.jpg,Bombay
project_results\raw_dataset\Exotic Shorthair\exotic_280.jpg,Exotic Shorthair
project_results\raw_dataset\Egyptian Mau\egyptian_260.jpg,Egyptian Mau
project_results\raw_dataset\Himalayan\himalayan_305.jpg,Himalayan
project_results\raw_dataset\Himalayan\himalayan_387.jpg,Himalayan
project_results\raw_dataset\Egyptian Mau\egyptian_193.jpg,Egyptian Mau
project_results\raw_dataset\Sphynx\sphynx_238.jpg,Sphynx
project_results\raw_dataset\Sphynx\sphynx_25.jpg,Sphynx
project_results\raw_dataset\Russian Blue\russianblue_253.jpg,Russian Blue
project_results\raw_dataset\Russian Blue\russianblue_55.jpg,Russian Blue
project_results\raw_dataset\Exotic Shorthair\exotic_245.jpg,Exotic Shorthair
project_results\raw_dataset\Abyssinian\abys_482.jpg,Abyssinian
project_results\raw_dataset\Maine Coon\mainecoon_397.jpg,Maine Coon
project_results\raw_dataset\Bombay\bombay_264.jpg,Bombay
project_results\raw_dataset\Siamese\siamese_56.jpg,Siamese
project_results\raw_dataset\Siamese\siamese_264.jpg,Siamese
project_results\raw_dataset\Scottish Fold\scottish_25.jpg,Scottish Fold
project_results\raw_dataset\Abyssinian\abys_196.jpg,Abyssinian
project_results\raw_dataset\Maine Coon\mainecoon_41.jpg,Maine Coon
project_results\raw_dataset\Egyptian Mau\egyptian_49.jpg,Egyptian Mau
project_results\raw_dataset\Egyptian Mau\egyptian_74.jpg,Egyptian Mau
project_results\raw_dataset\Himalayan\himalayan_267.jpg,Himalayan
project_results\raw_dataset\Scottish Fold\scottish_208.jpg,Scottish Fold
project_results\raw_dataset\Scottish Fold\scottish_37.jpg,Scottish Fold
project_results\raw_dataset\Himalayan\himalayan_252.jpg,Himalayan
project_results\raw_dataset\Egyptian Mau\egyptian_283.jpg,Egyptian Mau
project_results\raw_dataset\Abyssinian\abys_121.jpg,Abyssinian
project_results\raw_dataset\Himalayan\himalayan_445.jpg,Himalayan
project_results\raw_dataset\Himalayan\himalayan_74.jpg,Himalayan
project_results\raw_dataset\Himalayan\himalayan_343.jpg,Himalayan
project_results\raw_dataset\Abyssinian\abys_312.jpg,Abyssinian
project_results\raw_dataset\Siamese\siamese_172.jpg,Siamese
project_results\raw_dataset\Sphynx\sphynx_272.jpg,Sphynx
project_results\raw_dataset\Siamese\siamese_233.jpg,Siamese
project_results\raw_dataset\Russian Blue\russianblue_409.jpg,Russian Blue
project_results\raw_dataset\Maine Coon\mainecoon_409.jpg,Maine Coon
project_results\raw_dataset\Sphynx\sphynx_388.jpg,Sphynx
project_results\raw_dataset\Russian Blue\russianblue_223.jpg,Russian Blue
project_results\raw_dataset\Exotic Shorthair\exotic_33.jpg,Exotic Shorthair
project_results\raw_dataset\Sphynx\sphynx_407.jpg,Sphynx
project_results\raw_dataset\Siamese\siamese_321.jpg,Siamese
project_results\raw_dataset\Egyptian Mau\egyptian_325.jpg,Egyptian Mau
project_results\raw_dataset\Scottish Fold\scottish_153.jpg,Scottish Fold
project_results\raw_dataset\Siamese\siamese_31.jpg,Siamese
project_results\raw_dataset\Egyptian Mau\egyptian_24.jpg,Egyptian Mau
project_results\raw_dataset\Bombay\bombay_413.jpg,Bombay
project_results\raw_dataset\Abyssinian\abys_39.jpg,Abyssinian
project_results\raw_dataset\Bombay\bombay_401.jpg,Bombay
project_results\raw_dataset\Scottish Fold\scottish_121.jpg,Scottish Fold
project_results\raw_dataset\Exotic Shorthair\exotic_62.jpg,Exotic Shorthair
project_results\raw_dataset\Siamese\siamese_325.jpg,Siamese
project_results\raw_dataset\Sphynx\sphynx_190.jpg,Sphynx
project_results\raw_dataset\Siamese\siamese_259.jpg,Siamese
project_results\raw_dataset\Russian Blue\russianblue_101.jpg,Russian Blue
project_results\raw_dataset\Exotic Shorthair\exotic_373.jpg,Exotic Shorthair
project_results\raw_dataset\Maine Coon\mainecoon_434.jpg,Maine Coon
project_results\raw_dataset\Abyssinian\abys_370.jpg,Abyssinian
project_results\raw_dataset\Siamese\siamese_105.jpg,Siamese
project_results\raw_dataset\Russian Blue\russianblue_480.jpg,Russian Blue
project_results\raw_dataset\Siamese\siamese_9.jpg,Siamese
project_results\raw_dataset\Egyptian Mau\egyptian_150.jpg,Egyptian Mau
project_results\raw_dataset\Abyssinian\abys_238.jpg,Abyssinian
project_results\raw_dataset\Bombay\bombay_480.jpg,Bombay
project_results\raw_dataset\Exotic Shorthair\exotic_289.jpg,Exotic Shorthair
project_results\raw_dataset\Sphynx\sphynx_251.jpg,Sphynx
project_results\raw_dataset\Abyssinian\abys_274.jpg,Abyssinian
project_results\raw_dataset\Maine Coon\mainecoon_269.jpg,Maine Coon
project_results\raw_dataset\Himalayan\himalayan_152.jpg,Himalayan
project_results\raw_dataset\Egyptian Mau\egyptian_311.jpg,Egyptian Mau
project_results\raw_dataset\Bombay\bombay_434.jpg,Bombay
project_results\raw_dataset\Siamese\siamese_332.jpg,Siamese
project_results\raw_dataset\Egyptian Mau\egyptian_251.jpg,Egyptian Mau
project_results\raw_dataset\Siamese\siamese_36.jpg,Siamese
project_results\raw_dataset\Bombay\bombay_261.jpg,Bombay
project_results\raw_dataset\Exotic Shorthair\exotic_295.jpg,Exotic Shorthair
project_results\raw_dataset\Sphynx\sphynx_236.jpg,Sphynx
project_results\raw_dataset\Maine Coon\mainecoon_264.jpg,Maine Coon
project_results\raw_dataset\Exotic Shorthair\exotic_49.jpg,Exotic Shorthair
project_results\raw_dataset\Abyssinian\abys_429.jpg,Abyssinian
project_results\raw_dataset\Siamese\siamese_477.jpg,Siamese
project_results\raw_dataset\Bombay\bombay_295.jpg,Bombay
project_results\raw_dataset\Scottish Fold\scottish_397.jpg,Scottish Fold
project_results\raw_dataset\Bombay\bombay_398.jpg,Bombay
project_results\raw_dataset\Abyssinian\abys_45.jpg,Abyssinian
project_results\raw_dataset\Exotic Shorthair\exotic_299.jpg,Exotic Shorthair
project_results\raw_dataset\Siamese\siamese_163.jpg,Siamese
project_results\raw_dataset\Abyssinian\abys_182.jpg,Abyssinian
project_results\raw_dataset\Abyssinian\abys_384.jpg,Abyssinian
project_results\raw_dataset\Maine Coon\mainecoon_368.jpg,Maine Coon
project_results\raw_dataset\Bombay\bombay_41.jpg,Bombay
project_results\raw_dataset\Maine Coon\mainecoon_495.jpg,Maine Coon
project_results\raw_dataset\Bombay\bombay_94.jpg,Bombay
project_results\raw_dataset\Sphynx\sphynx_302.jpg,Sphynx
project_results\raw_dataset\Maine Coon\mainecoon_354.jpg,Maine Coon
project_results\raw_dataset\Siamese\siamese_306.jpg,Siamese
project_results\raw_dataset\Siamese\siamese_271.jpg,Siamese
project_results\raw_dataset\Siamese\siamese_247.jpg,Siamese
project_results\raw_dataset\Bombay\bombay_89.jpg,Bombay
project_results\raw_dataset\Scottish Fold\scottish_92.jpg,Scottish Fold
project_results\raw_dataset\Abyssinian\abys_493.jpg,Abyssinian
project_results\raw_dataset\Abyssinian\abys_30.jpg,Abyssinian
project_results\raw_dataset\Maine Coon\mainecoon_467.jpg,Maine Coon
project_results\raw_dataset\Maine Coon\mainecoon_489.jpg,Maine Coon
project_results\raw_dataset\Scottish Fold\scottish_24.jpg,Scottish Fold
project_results\raw_dataset\Siamese\siamese_185.jpg,Siamese
project_results\raw_dataset\Russian Blue\russianblue_173.jpg,Russian Blue
project_results\raw_dataset\Scottish Fold\scottish_349.jpg,Scottish Fold
project_results\raw_dataset\Maine Coon\mainecoon_211.jpg,Maine Coon
project_results\raw_dataset\Exotic Shorthair\exotic_4.jpg,Exotic Shorthair
project_results\raw_dataset\Bombay\bombay_209.jpg,Bombay
project_results\raw_dataset\Abyssinian\abys_473.jpg,Abyssinian
project_results\raw_dataset\Maine Coon\mainecoon_127.jpg,Maine Coon
project_results\raw_dataset\Bombay\bombay_425.jpg,Bombay
project_results\raw_dataset\Scottish Fold\scottish_232.jpg,Scottish Fold
project_results\raw_dataset\Abyssinian\abys_81.jpg,Abyssinian
project_results\raw_dataset\Bombay\bombay_30.jpg,Bombay
project_results\raw_dataset\Sphynx\sphynx_429.jpg,Sphynx
project_results\raw_dataset\Egyptian Mau\egyptian_82.jpg,Egyptian Mau
project_results\raw_dataset\Bombay\bombay_15.jpg,Bombay
project_results\raw_dataset\Scottish Fold\scottish_47.jpg,Scottish Fold
project_results\raw_dataset\Himalayan\himalayan_229.jpg,Himalayan
project_results\raw_dataset\Exotic Shorthair\exotic_155.jpg,Exotic Shorthair
project_results\raw_dataset\Russian Blue\russianblue_54.jpg,Russian Blue
project_results\raw_dataset\Himalayan\himalayan_394.jpg,Himalayan
project_results\raw_dataset\Maine Coon\mainecoon_415.jpg,Maine Coon
project_results\raw_dataset\Siamese\siamese_79.jpg,Siamese
project_results\raw_dataset\Bombay\bombay_238.jpg,Bombay
project_results\raw_dataset\Egyptian Mau\egyptian_231.jpg,Egyptian Mau
project_results\raw_dataset\Himalayan\himalayan_307.jpg,Himalayan
project_results\raw_dataset\Egyptian Mau\egyptian_37.jpg,Egyptian Mau
project_results\raw_dataset\Exotic Shorthair\exotic_189.jpg,Exotic Shorthair
project_results\raw_dataset\Himalayan\himalayan_344.jpg,Himalayan
project_results\raw_dataset\Maine Coon\mainecoon_392.jpg,Maine Coon
project_results\raw_dataset\Himalayan\himalayan_59.jpg,Himalayan
project_results\raw_dataset\Himalayan\himalayan_381.jpg,Himalayan
project_results\raw_dataset\Egyptian Mau\egyptian_290.jpg,Egyptian Mau
project_results\raw_dataset\Scottish Fold\scottish_164.jpg,Scottish Fold
project_results\raw_dataset\Siamese\siamese_346.jpg,Siamese
project_results\raw_dataset\Russian Blue\russianblue_346.jpg,Russian Blue
project_results\raw_dataset\Egyptian Mau\egyptian_272.jpg,Egyptian Mau
project_results\raw_dataset\Abyssinian\abys_63.jpg,Abyssinian
project_results\raw_dataset\Exotic Shorthair\exotic_6.jpg,Exotic Shorthair
project_results\raw_dataset\Sphynx\sphynx_361.jpg,Sphynx
project_results\raw_dataset\Egyptian Mau\egyptian_87.jpg,Egyptian Mau
project_results\raw_dataset\Bombay\bombay_62.jpg,Bombay
project_results\raw_dataset\Himalayan\himalayan_298.jpg,Himalayan
project_results\raw_dataset\Himalayan\himalayan_413.jpg,Himalayan
project_results\raw_dataset\Exotic Shorthair\exotic_108.jpg,Exotic Shorthair
project_results\raw_dataset\Himalayan\himalayan_102.jpg,Himalayan
project_results\raw_dataset\Exotic Shorthair\exotic_454.jpg,Exotic Shorthair
project_results\raw_dataset\Russian Blue\russianblue_281.jpg,Russian Blue
project_results\raw_dataset\Bombay\bombay_158.jpg,Bombay
project_results\raw_dataset\Bombay\bombay_344.jpg,Bombay
project_results\raw_dataset\Exotic Shorthair\exotic_104.jpg,Exotic Shorthair
project_results\raw_dataset\Sphynx\sphynx_106.jpg,Sphynx
project_results\raw_dataset\Egyptian Mau\egyptian_349.jpg,Egyptian Mau
project_results\raw_dataset\Siamese\siamese_467.jpg,Siamese
project_results\raw_dataset\Egyptian Mau\egyptian_297.jpg,Egyptian Mau
project_results\raw_dataset\Siamese\siamese_223.jpg,Siamese
project_results\raw_dataset\Exotic Shorthair\exotic_167.jpg,Exotic Shorthair
project_results\raw_dataset\Siamese\siamese_498.jpg,Siamese
project_results\raw_dataset\Maine Coon\mainecoon_493.jpg,Maine Coon
project_results\raw_dataset\Sphynx\sphynx_3.jpg,Sphynx
project_results\raw_dataset\Sphynx\sphynx_5.jpg,Sphynx
project_results\raw_dataset\Abyssinian\abys_266.jpg,Abyssinian
project_results\raw_dataset\Abyssinian\abys_277.jpg,Abyssinian
project_results\raw_dataset\Russian Blue\russianblue_139.jpg,Russian Blue
project_results\raw_dataset\Scottish Fold\scottish_276.jpg,Scottish Fold
project_results\raw_dataset\Exotic Shorthair\exotic_103.jpg,Exotic Shorthair
project_results\raw_dataset\Exotic Shorthair\exotic_181.jpg,Exotic Shorthair
project_results\raw_dataset\Exotic Shorthair\exotic_259.jpg,Exotic Shorthair
project_results\raw_dataset\Exotic Shorthair\exotic_371.jpg,Exotic Shorthair
project_results\raw_dataset\Sphynx\sphynx_305.jpg,Sphynx
project_results\raw_dataset\Sphynx\sphynx_313.jpg,Sphynx
project_results\raw_dataset\Sphynx\sphynx_422.jpg,Sphynx
project_results\raw_dataset\Scottish Fold\scottish_75.jpg,Scottish Fold
project_results\raw_dataset\Maine Coon\mainecoon_6.jpg,Maine Coon
project_results\raw_dataset\Siamese\siamese_94.jpg,Siamese
project_results\raw_dataset\Egyptian Mau\egyptian_348.jpg,Egyptian Mau
project_results\raw_dataset\Egyptian Mau\egyptian_256.jpg,Egyptian Mau
project_results\raw_dataset\Maine Coon\mainecoon_475.jpg,Maine Coon
project_results\raw_dataset\Russian Blue\russianblue_316.jpg,Russian Blue
project_results\raw_dataset\Himalayan\himalayan_3.jpg,Himalayan
project_results\raw_dataset\Sphynx\sphynx_196.jpg,Sphynx
project_results\raw_dataset\Maine Coon\mainecoon_167.jpg,Maine Coon
project_results\raw_dataset\Abyssinian\abys_192.jpg,Abyssinian
project_results\raw_dataset\Himalayan\himalayan_234.jpg,Himalayan
project_results\raw_dataset\Sphynx\sphynx_340.jpg,Sphynx
project_results\raw_dataset\Exotic Shorthair\exotic_142.jpg,Exotic Shorthair
project_results\raw_dataset\Scottish Fold\scottish_387.jpg,Scottish Fold
project_results\raw_dataset\Scottish Fold\scottish_66.jpg,Scottish Fold
project_results\raw_dataset\Siamese\siamese_154.jpg,Siamese
project_results\raw_dataset\Sphynx\sphynx_309.jpg,Sphynx
project_results\raw_dataset\Exotic Shorthair\exotic_298.jpg,Exotic Shorthair
project_results\raw_dataset\Himalayan\himalayan_498.jpg,Himalayan
project_results\raw_dataset\Egyptian Mau\egyptian_241.jpg,Egyptian Mau
project_results\raw_dataset\Siamese\siamese_484.jpg,Siamese
project_results\raw_dataset\Egyptian Mau\egyptian_44.jpg,Egyptian Mau
project_results\raw_dataset\Maine Coon\mainecoon_313.jpg,Maine Coon
project_results\raw_dataset\Russian Blue\russianblue_303.jpg,Russian Blue
project_results\raw_dataset\Egyptian Mau\egyptian_190.jpg,Egyptian Mau
project_results\raw_dataset\Abyssinian\abys_343.jpg,Abyssinian
project_results\raw_dataset\Siamese\siamese_16.jpg,Siamese
project_results\raw_dataset\Siamese\siamese_190.jpg,Siamese
project_results\raw_dataset\Bombay\bombay_348.jpg,Bombay
project_results\raw_dataset\Maine Coon\mainecoon_413.jpg,Maine Coon
project_results\raw_dataset\Sphynx\sphynx_169.jpg,Sphynx
project_results\raw_dataset\Abyssinian\abys_201.jpg,Abyssinian
project_results\raw_dataset\Sphynx\sphynx_269.jpg,Sphynx
project_results\raw_dataset\Abyssinian\abys_471.jpg,Abyssinian
project_results\raw_dataset\Russian Blue\russianblue_247.jpg,Russian Blue
project_results\raw_dataset\Scottish Fold\scottish_380.jpg,Scottish Fold
project_results\raw_dataset\Siamese\siamese_333.jpg,Siamese
project_results\raw_dataset\Himalayan\himalayan_118.jpg,Himalayan
project_results\raw_dataset\Russian Blue\russianblue_265.jpg,Russian Blue
project_results\raw_dataset\Exotic Shorthair\exotic_265.jpg,Exotic Shorthair
project_results\raw_dataset\Russian Blue\russianblue_363.jpg,Russian Blue
project_results\raw_dataset\Egyptian Mau\egyptian_77.jpg,Egyptian Mau
project_results\raw_dataset\Bombay\bombay_360.jpg,Bombay
project_results\raw_dataset\Himalayan\himalayan_416.jpg,Himalayan
project_results\raw_dataset\Abyssinian\abys_451.jpg,Abyssinian
project_results\raw_dataset\Abyssinian\abys_437.jpg,Abyssinian
project_results\raw_dataset\Bombay\bombay_214.jpg,Bombay
project_results\raw_dataset\Bombay\bombay_430.jpg,Bombay
project_results\raw_dataset\Himalayan\himalayan_451.jpg,Himalayan
project_results\raw_dataset\Russian Blue\russianblue_148.jpg,Russian Blue
project_results\raw_dataset\Sphynx\sphynx_397.jpg,Sphynx
project_results\raw_dataset\Exotic Shorthair\exotic_324.jpg,Exotic Shorthair
project_results\raw_dataset\Sphynx\sphynx_463.jpg,Sphynx
project_results\raw_dataset\Egyptian Mau\egyptian_280.jpg,Egyptian Mau
project_results\raw_dataset\Russian Blue\russianblue_149.jpg,Russian Blue
project_results\raw_dataset\Siamese\siamese_46.jpg,Siamese
project_results\raw_dataset\Abyssinian\abys_167.jpg,Abyssinian
project_results\raw_dataset\Bombay\bombay_326.jpg,Bombay
project_results\raw_dataset\Sphynx\sphynx_156.jpg,Sphynx
project_results\raw_dataset\Sphynx\sphynx_133.jpg,Sphynx
project_results\raw_dataset\Scottish Fold\scottish_220.jpg,Scottish Fold
project_results\raw_dataset\Maine Coon\mainecoon_460.jpg,Maine Coon
project_results\raw_dataset\Maine Coon\mainecoon_35.jpg,Maine Coon
project_results\raw_dataset\Himalayan\himalayan_376.jpg,Himalayan
project_results\raw_dataset\Russian Blue\russianblue_4.jpg,Russian Blue
project_results\raw_dataset\Scottish Fold\scottish_347.jpg,Scottish Fold
project_results\raw_dataset\Egyptian Mau\egyptian_7.jpg,Egyptian Mau
project_results\raw_dataset\Sphynx\sphynx_435.jpg,Sphynx
project_results\raw_dataset\Abyssinian\abys_231.jpg,Abyssinian
project_results\raw_dataset\Abyssinian\abys_450.jpg,Abyssinian
project_results\raw_dataset\Egyptian Mau\egyptian_344.jpg,Egyptian Mau
project_results\raw_dataset\Abyssinian\abys_313.jpg,Abyssinian
project_results\raw_dataset\Russian Blue\russianblue_210.jpg,Russian Blue
project_results\raw_dataset\Abyssinian\abys_264.jpg,Abyssinian
project_results\raw_dataset\Scottish Fold\scottish_469.jpg,Scottish Fold
project_results\raw_dataset\Exotic Shorthair\exotic_22.jpg,Exotic Shorthair
project_results\raw_dataset\Exotic Shorthair\exotic_391.jpg,Exotic Shorthair
project_results\raw_dataset\Abyssinian\abys_18.jpg,Abyssinian
project_results\raw_dataset\Bombay\bombay_240.jpg,Bombay
project_results\raw_dataset\Himalayan\himalayan_377.jpg,Himalayan
project_results\raw_dataset\Abyssinian\abys_224.jpg,Abyssinian
project_results\raw_dataset\Egyptian Mau\egyptian_412.jpg,Egyptian Mau
project_results\raw_dataset\Sphynx\sphynx_329.jpg,Sphynx
project_results\raw_dataset\Siamese\siamese_303.jpg,Siamese
project_results\raw_dataset\Sphynx\sphynx_237.jpg,Sphynx
project_results\raw_dataset\Bombay\bombay_499.jpg,Bombay
project_results\raw_dataset\Sphynx\sphynx_440.jpg,Sphynx
project_results\raw_dataset\Egyptian Mau\egyptian_117.jpg,Egyptian Mau
project_results\raw_dataset\Egyptian Mau\egyptian_232.jpg,Egyptian Mau
project_results\raw_dataset\Egyptian Mau\egyptian_322.jpg,Egyptian Mau
project_results\raw_dataset\Siamese\siamese_166.jpg,Siamese
project_results\raw_dataset\Sphynx\sphynx_201.jpg,Sphynx
project_results\raw_dataset\Siamese\siamese_352.jpg,Siamese
project_results\raw_dataset\Bombay\bombay_90.jpg,Bombay
project_results\raw_dataset\Himalayan\himalayan_410.jpg,Himalayan
project_results\raw_dataset\Maine Coon\mainecoon_129.jpg,Maine Coon
project_results\raw_dataset\Himalayan\himalayan_402.jpg,Himalayan
project_results\raw_dataset\Abyssinian\abys_205.jpg,Abyssinian
project_results\raw_dataset\Bombay\bombay_141.jpg,Bombay
project_results\raw_dataset\Egyptian Mau\egyptian_423.jpg,Egyptian Mau
project_results\raw_dataset\Bombay\bombay_342.jpg,Bombay
project_results\raw_dataset\Scottish Fold\scottish_32.jpg,Scottish Fold
project_results\raw_dataset\Egyptian Mau\egyptian_81.jpg,Egyptian Mau
project_results\raw_dataset\Maine Coon\mainecoon_161.jpg,Maine Coon
project_results\raw_dataset\Himalayan\himalayan_2.jpg,Himalayan
project_results\raw_dataset\Russian Blue\russianblue_11.jpg,Russian Blue
project_results\raw_dataset\Abyssinian\abys_330.jpg,Abyssinian
project_results\raw_dataset\Sphynx\sphynx_461.jpg,Sphynx
project_results\raw_dataset\Himalayan\himalayan_130.jpg,Himalayan
project_results\raw_dataset\Egyptian Mau\egyptian_250.jpg,Egyptian Mau
project_results\raw_dataset\Maine Coon\mainecoon_450.jpg,Maine Coon
project_results\raw_dataset\Russian Blue\russianblue_379.jpg,Russian Blue
project_results\raw_dataset\Sphynx\sphynx_218.jpg,Sphynx
project_results\raw_dataset\Egyptian Mau\egyptian_427.jpg,Egyptian Mau
project_results\raw_dataset\Bombay\bombay_384.jpg,Bombay
project_results\raw_dataset\Russian Blue\russianblue_207.jpg,Russian Blue
project_results\raw_dataset\Maine Coon\mainecoon_19.jpg,Maine Coon
project_results\raw_dataset\Russian Blue\russianblue_402.jpg,Russian Blue
project_results\raw_dataset\Himalayan\himalayan_365.jpg,Himalayan
project_results\raw_dataset\Exotic Shorthair\exotic_313.jpg,Exotic Shorthair
project_results\raw_dataset\Abyssinian\abys_368.jpg,Abyssinian
project_results\raw_dataset\Exotic Shorthair\exotic_498.jpg,Exotic Shorthair
project_results\raw_dataset\Maine Coon\mainecoon_102.jpg,Maine Coon
project_results\raw_dataset\Himalayan\himalayan_266.jpg,Himalayan
project_results\raw_dataset\Scottish Fold\scottish_134.jpg,Scottish Fold
project_results\raw_dataset\Maine Coon\mainecoon_14.jpg,Maine Coon
project_results\raw_dataset\Maine Coon\mainecoon_356.jpg,Maine Coon
project_results\raw_dataset\Russian Blue\russianblue_475.jpg,Russian Blue
project_results\raw_dataset\Siamese\siamese_359.jpg,Siamese
project_results\raw_dataset\Egyptian Mau\egyptian_255.jpg,Egyptian Mau
project_results\raw_dataset\Siamese\siamese_117.jpg,Siamese
project_results\raw_dataset\Himalayan\himalayan_301.jpg,Himalayan
project_results\raw_dataset\Scottish Fold\scottish_323.jpg,Scottish Fold
project_results\raw_dataset\Maine Coon\mainecoon_239.jpg,Maine Coon
project_results\raw_dataset\Abyssinian\abys_203.jpg,Abyssinian
project_results\raw_dataset\Bombay\bombay_73.jpg,Bombay
project_results\raw_dataset\Russian Blue\russianblue_297.jpg,Russian Blue
project_results\raw_dataset\Exotic Shorthair\exotic_96.jpg,Exotic Shorthair
project_results\raw_dataset\Bombay\bombay_51.jpg,Bombay
project_results\raw_dataset\Bombay\bombay_236.jpg,Bombay
project_results\raw_dataset\Siamese\siamese_493.jpg,Siamese
project_results\raw_dataset\Maine Coon\mainecoon_24.jpg,Maine Coon
project_results\raw_dataset\Russian Blue\russianblue_246.jpg,Russian Blue
project_results\raw_dataset\Sphynx\sphynx_185.jpg,Sphynx
project_results\raw_dataset\Exotic Shorthair\exotic_137.jpg,Exotic Shorthair
project_results\raw_dataset\Sphynx\sphynx_102.jpg,Sphynx
project_results\raw_dataset\Russian Blue\russianblue_373.jpg,Russian Blue
project_results\raw_dataset\Exotic Shorthair\exotic_254.jpg,Exotic Shorthair
project_results\raw_dataset\Siamese\siamese_257.jpg,Siamese
project_results\raw_dataset\Sphynx\sphynx_447.jpg,Sphynx
project_results\raw_dataset\Scottish Fold\scottish_357.jpg,Scottish Fold
project_results\raw_dataset\Himalayan\himalayan_148.jpg,Himalayan
project_results\raw_dataset\Bombay\bombay_102.jpg,Bombay
